Link,Name,Platform,Technologies,Industry / Niche,Brief,Relevant People,Visibility
https://aquadata.worldfishcenter.org/,AquaData,Web,NextJS,Dashboard,"A project of World Fish Center, showing stories, demonstrating the importance of aquatic food systems worldwide.",,Private
https://ripeseed.io/,RipeSeed,Web,"NextJS, React, Strapi CMS","Agency, Dashboard","RipeSeed’s company website, showcasing their capabilities, projects and Team",,Public
https://superreply.co/,SuperReply,Chrome Extension,"ChatGPT, Generative AI, JavaScript, React","Productivity, SaaS","A productivity browser plugin, built using Chrome Manifest V3, helping users write better emails",Rizwan,Public
http://moozilyrics.com/,MooziLyrics,Web,"Google Translate API, NextJS, OpenAI",Entertainment,"Multilingual Song Translation Platform. It specializes in translating song lyrics into various languages,","Ahsan, Sameer",Public
www.merchynt.com/profilepro,ProfilePro,Chrome Extension,"Chrome Manifest, JavaScript, React","Business, SEO, SaaS","AI SEO tool that optimizes your Google Business Profile - for free.
(10k+ downloads)","Nushirvan, Rizwan, Sidra",Public
https://development.storynoi.com/,Kinderbeez,Web,"AWS Transcribe, Elevenlabs, NextJS, PrismaORM, StablityAi, polay, remotion","Dashboard, Entertainment","A platform to write kid’s stories, taking contextual ideas and transforming them into engaging content","Adnan, Mursal, Sidra, Wahab",Private
https://d3b8vv6kh70xyo.cloudfront.net/,Steven Stone,Web,"JavaScript, VueJS",Ecommerce,An E-commerce store for a UK based Jewellery store chain,"Osama Riaz, Sameer, Wahab",Private
"Play Store: https://play.google.com/store/apps/details?id=com.bluewave.facescope2

App Store: https://apps.apple.com/tr/app/facescope-2/id1572508578

Admin Panel: https://portal.facescope.io",FaceScope,"Android App, Cross Platform App, iOS App","AWS, AWS Amplify, AWS Lambda, AWS Rekognition, React Native, TypeScript","Loss Prevention, SaaS, Security","A Loss prevention platform, helping US based private security agencies, to prevent crime using an easy to use mobile app with Facial Recognition capabilities",,Public
http://felix.fm/,felix.fm,Web,"GatsbyJS, React",Entertainment,A simple landing page used to collect feedback from users about a product,Osama Riaz,Public
https://www.composetrip.com/,ComposeTrip,Web,"OpenAI, React","SaaS, Travel",Travel Itinerary Planner that uses AI to create personalized trip plans.,"Afaq, Asad",Private
"https://satoshisindex.com/

App: https://app.satoshisindex.com/",Satoshi’s Index,Web,"JavaScript, NestJS, React, Web 3","Blockchain, Crypto, Dashboard, SaaS",A platform to allow users to connect their crypto exchange accounts to an algorithm that makes the trades on user’s behalf,"Nushirvan, Usama",Private
https://play.google.com/store/apps/details?id=com.hashed.apps.dorch,Dorch,Android App,"Android, Java, Kotlin","Tools, Utilities","A torch application that allows users to turn on front and back flashlight of their (supported) phones at the same time, a product built by our Founder himself",,Public
https://play.google.com/store/apps/details?id=com.meethashirb.feels,Feels,Android App,Flutter,"Entertainment, Social",A micro-social platform that tracks how the users are feelings today,,Public
https://play.google.com/store/apps/details?id=com.meethashirb.vise,Vise,Android App,Flutter,"Entertainment, Social",A micro-social platform where users randomly give advice to public,,Public
https://play.google.com/store/apps/details?id=com.meethashirb.moment_share,Moment Share,Android App,"Dart, Firebase, Flutter","Entertainment, Social",A micro-social platform where you can share some good moments about your day,,Public
"App Store: https://apps.apple.com/us/app/croissant-at-home/id6475767834

Play Store: https://play.google.com/store/apps/details?id=io.ripeseed.croissantathome",Croissant at Home,"Android App, Cross Platform App, iOS App","Firebase, MongoDB, React Native",Food,"A croissant recipe app, a product of RipeSeed",Asad,Public
"https://play.google.com/store/apps/details?id=io.ripeseed.tractyoursubs

https://apps.apple.com/us/app/track-your-subs/id6479640056",Track Your Subs,"Android App, Cross Platform App, iOS App","Analytics, Firebase, JavaScript, MongoDB, React Native","Productivity, SaaS, Tools","An application to help you keep track of your subscriptions by giving you reminders before your renewals, a product of RipeSeed",,Public
http://audioread-tts.web.app/,Audioread,Web,"Flask, Python, React, Stripe","Entertainment, Tools",A natural & human-like text-to-speech API platform. We worked on development of their primary landing page,Muaaz,Private
https://honeyseeds.ripeseed.io/,Honeyseeds,Web,"Chrome Manifest, GatsbyJS, React, Web 3","Blockchain, Crypto","An NFT website, launched by RipeSeed back in 2022",Rizwan,Public
https://drive.google.com/file/d/1_trd-VeFj2BBVeZG3W2oCMZmcvjq14cU/view?usp=sharing,Unity Audio Chatbot,"Android App, Game","ChatGPT, OpenAI, Unity",AI,A 3D animated character that responds to user’s questions using generative AI capabilities,Muaaz,Private
https://play.google.com/store/apps/details?id=com.redpetalgames.spookysphere,Spooky Sphere,"Cross Platform App, Game",Unity,"Entertainment, Game","Originally designed for a 3-day GameJam, Spooky Sphere is a game created by RipeSeed, that has since evolved and offers many more levels. You have only two buttons that are randomly regenerated. You must use these buttons to move through a maze and reach the end of the level.","Afaq, Haider, Muaaz",Public
